"","Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id","pid_proteins$Gene.proteins.secondaryIdentifier"
"694","YDR244W","Pex5p","G3DSA:1.25.40.10",103,384,"GENE3D",1956722,"YDR244W"
"695","YDR244W","Pex5p","G3DSA:1.25.40.10",492,558,"GENE3D",1956723,"YDR244W"
"696","YDR244W","Pex5p","PF00515",494,524,"Pfam",1956724,"YDR244W"
"697","YDR244W","Pex5p","PS50005",313,346,"PROSITE",1956726,"YDR244W"
"698","YDR244W","Pex5p","PS50005",347,380,"PROSITE",1956727,"YDR244W"
"699","YDR244W","Pex5p","PS50005",457,490,"PROSITE",1956728,"YDR244W"
"700","YDR244W","Pex5p","PS50005",491,524,"PROSITE",1956729,"YDR244W"
"701","YDR244W","Pex5p","PS50293",312,558,"PROSITE",1956730,"YDR244W"
"702","YDR244W","Pex5p","SM00028",347,380,"SMART",1956733,"YDR244W"
"703","YDR244W","Pex5p","SM00028",457,490,"SMART",1956734,"YDR244W"
"704","YDR244W","Pex5p","SM00028",491,524,"SMART",1956735,"YDR244W"
"705","YDR244W","Pex5p","SM00028",525,558,"SMART",1956736,"YDR244W"
"706","YDR244W","Pex5p","SSF48452",300,611,"SUPERFAMILY",1956737,"YDR244W"
"707","YDR257C","Rkm4p","PF00856",38,265,"Pfam",1984552,"YDR257C"
"708","YDR257C","Rkm4p","PS50280",25,265,"PROSITE",1984554,"YDR257C"
"709","YDR264C","Akr1p","PS50088",108,140,"PROSITE",1962794,"YDR264C"
"710","YDR264C","Akr1p","PS50088",142,174,"PROSITE",1962795,"YDR264C"
"711","YDR264C","Akr1p","PS50088",213,245,"PROSITE",1962796,"YDR264C"
"712","YDR264C","Akr1p","PS50088",246,278,"PROSITE",1962797,"YDR264C"
"713","YDR264C","Akr1p","SM00248",72,102,"SMART",1962802,"YDR264C"
"714","YDR264C","Akr1p","SM00248",108,137,"SMART",1962803,"YDR264C"
"715","YDR264C","Akr1p","SM00248",142,171,"SMART",1962804,"YDR264C"
"716","YDR264C","Akr1p","SM00248",175,204,"SMART",1962805,"YDR264C"
"717","YDR264C","Akr1p","SM00248",213,242,"SMART",1962806,"YDR264C"
"718","YDR264C","Akr1p","SM00248",246,275,"SMART",1962807,"YDR264C"
"719","YDR265W","Pex10p","PTHR23350",18,336,"PANTHER",1978345,"YDR265W"
"720","YDR267C","Cia1p","G3DSA:2.130.10.10",3,107,"GENE3D",1978358,"YDR267C"
"721","YDR267C","Cia1p","G3DSA:2.130.10.10",221,330,"GENE3D",1978359,"YDR267C"
"722","YDR267C","Cia1p","PF00400",55,85,"Pfam",1978364,"YDR267C"
"723","YDR267C","Cia1p","PF00400",99,134,"Pfam",1978365,"YDR267C"
"724","YDR267C","Cia1p","PF00400",144,181,"Pfam",1978366,"YDR267C"
"725","YDR267C","Cia1p","PF00400",187,227,"Pfam",1978367,"YDR267C"
"726","YDR267C","Cia1p","PS50082",54,85,"PROSITE",1978372,"YDR267C"
"727","YDR267C","Cia1p","PS50082",103,144,"PROSITE",1978373,"YDR267C"
"728","YDR267C","Cia1p","PS50082",149,181,"PROSITE",1978374,"YDR267C"
"729","YDR267C","Cia1p","PS50082",193,227,"PROSITE",1978375,"YDR267C"
"730","YDR267C","Cia1p","PS50082",312,330,"PROSITE",1978376,"YDR267C"
"731","YDR267C","Cia1p","PS50294",10,330,"PROSITE",1978377,"YDR267C"
"732","YDR267C","Cia1p","SM00320",3,40,"SMART",1978379,"YDR267C"
"733","YDR267C","Cia1p","SM00320",45,86,"SMART",1978380,"YDR267C"
"734","YDR267C","Cia1p","SM00320",96,135,"SMART",1978381,"YDR267C"
"735","YDR267C","Cia1p","SM00320",142,181,"SMART",1978382,"YDR267C"
"736","YDR267C","Cia1p","SM00320",186,227,"SMART",1978383,"YDR267C"
"737","YDR267C","Cia1p","SM00320",238,277,"SMART",1978384,"YDR267C"
"738","YDR267C","Cia1p","SM00320",289,325,"SMART",1978385,"YDR267C"
"739","YDR267C","Cia1p","SSF50978",17,327,"SUPERFAMILY",1978386,"YDR267C"
"740","YDR273W","Don1p","PF02845",87,124,"Pfam",1978395,"YDR273W"
"741","YDR273W","Don1p","PS51140",82,125,"PROSITE",1978396,"YDR273W"
"742","YDR273W","Don1p","SM00546",82,124,"SMART",1978399,"YDR273W"
"743","YDR273W","Don1p","SSF46934",86,131,"SUPERFAMILY",1978400,"YDR273W"
"744","YDR283C","Gcn2p","PF05773",13,125,"Pfam",1946582,"YDR283C"
"745","YDR283C","Gcn2p","PS50908",17,128,"PROSITE",1946590,"YDR283C"
"746","YDR283C","Gcn2p","SM00591",17,128,"SMART",1946594,"YDR283C"
"747","YDR292C","Srp101p","PF09201",1,155,"Pfam",1955549,"YDR292C"
"748","YDR301W","Cft1p","G3DSA:2.130.10.10",349,1227,"GENE3D",1979694,"YDR301W"
"749","YDR320C","Swa2p","G3DSA:1.25.40.10",370,520,"GENE3D",1979768,"YDR320C"
"750","YDR320C","Swa2p","PS50293",374,445,"PROSITE",1979770,"YDR320C"
"751","YDR320C","Swa2p","SM00028",374,407,"SMART",1979773,"YDR320C"
"752","YDR320C","Swa2p","SM00028",412,445,"SMART",1979774,"YDR320C"
"753","YDR320C","Swa2p","SM00028",467,500,"SMART",1979775,"YDR320C"
"754","YDR320C","Swa2p","SSF46934",138,182,"SUPERFAMILY",1979777,"YDR320C"
"755","YDR320C","Swa2p","SSF48452",375,511,"SUPERFAMILY",1979778,"YDR320C"
"756","YDR324C","Utp4p","G3DSA:2.130.10.10",36,222,"GENE3D",1979784,"YDR324C"
"757","YDR324C","Utp4p","G3DSA:2.130.10.10",310,613,"GENE3D",1979785,"YDR324C"
"758","YDR324C","Utp4p","PF00400",273,305,"Pfam",1979787,"YDR324C"
"759","YDR324C","Utp4p","PS50082",183,223,"PROSITE",1979788,"YDR324C"
"760","YDR324C","Utp4p","PS50294",50,317,"PROSITE",1979789,"YDR324C"
"761","YDR324C","Utp4p","SM00320",42,80,"SMART",1979792,"YDR324C"
"762","YDR324C","Utp4p","SM00320",84,127,"SMART",1979793,"YDR324C"
"763","YDR324C","Utp4p","SM00320",130,169,"SMART",1979794,"YDR324C"
"764","YDR324C","Utp4p","SM00320",176,214,"SMART",1979795,"YDR324C"
"765","YDR324C","Utp4p","SM00320",222,266,"SMART",1979796,"YDR324C"
"766","YDR324C","Utp4p","SM00320",269,308,"SMART",1979797,"YDR324C"
"767","YDR324C","Utp4p","SM00320",349,403,"SMART",1979798,"YDR324C"
"768","YDR324C","Utp4p","SM00320",415,452,"SMART",1979799,"YDR324C"
"769","YDR324C","Utp4p","SM00320",559,595,"SMART",1979800,"YDR324C"
"770","YDR324C","Utp4p","SSF50978",44,363,"SUPERFAMILY",1979801,"YDR324C"
"771","YDR324C","Utp4p","SSF50978",329,660,"SUPERFAMILY",1979802,"YDR324C"
"772","YDR330W","Ubx5p","PF00789",415,494,"Pfam",1979822,"YDR330W"
"773","YDR330W","Ubx5p","PS50033",415,493,"PROSITE",1979825,"YDR330W"
"774","YDR330W","Ubx5p","SM00166",412,494,"SMART",1979828,"YDR330W"
"775","YDR330W","Ubx5p","SSF46934",4,44,"SUPERFAMILY",1979830,"YDR330W"
"776","YDR362C","Tfc6p","G3DSA:2.130.10.10",285,669,"GENE3D",1979228,"YDR362C"
"777","YDR362C","Tfc6p","SSF50978",174,209,"SUPERFAMILY",1979231,"YDR362C"
"778","YDR362C","Tfc6p","SSF50978",292,511,"SUPERFAMILY",1979232,"YDR362C"
"779","YDR362C","Tfc6p","SSF50978",552,584,"SUPERFAMILY",1979233,"YDR362C"
"780","YDR363W","Esc2p","PS50053",384,456,"PROSITE",1979236,"YDR363W"
"781","YDR364C","Cdc40p","G3DSA:2.130.10.10",323,455,"GENE3D",1966679,"YDR364C"
"782","YDR364C","Cdc40p","PF00400",154,191,"Pfam",1966682,"YDR364C"
"783","YDR364C","Cdc40p","PF00400",197,234,"Pfam",1966683,"YDR364C"
"784","YDR364C","Cdc40p","PF00400",285,320,"Pfam",1966684,"YDR364C"
"785","YDR364C","Cdc40p","PF00400",373,410,"Pfam",1966685,"YDR364C"
"786","YDR364C","Cdc40p","PS50082",158,191,"PROSITE",1966690,"YDR364C"
"787","YDR364C","Cdc40p","PS50082",202,243,"PROSITE",1966691,"YDR364C"
"788","YDR364C","Cdc40p","PS50082",289,321,"PROSITE",1966692,"YDR364C"
"789","YDR364C","Cdc40p","PS50294",158,420,"PROSITE",1966693,"YDR364C"
"790","YDR364C","Cdc40p","SM00320",151,191,"SMART",1966696,"YDR364C"
"791","YDR364C","Cdc40p","SM00320",195,234,"SMART",1966697,"YDR364C"
"792","YDR364C","Cdc40p","SM00320",282,321,"SMART",1966698,"YDR364C"
"793","YDR364C","Cdc40p","SM00320",370,411,"SMART",1966699,"YDR364C"
"794","YDR364C","Cdc40p","SM00320",414,455,"SMART",1966700,"YDR364C"
"795","YDR364C","Cdc40p","SSF50978",126,453,"SUPERFAMILY",1966701,"YDR364C"
"796","YDR369C","Xrs2p","PF00498",28,92,"Pfam",1955731,"YDR369C"
"797","YDR369C","Xrs2p","SSF49879",8,113,"SUPERFAMILY",1955732,"YDR369C"
"798","YDR388W","Rvs167p","PF00018",427,473,"Pfam",1963713,"YDR388W"
"799","YDR388W","Rvs167p","PF03114",6,246,"Pfam",1963714,"YDR388W"
"800","YDR388W","Rvs167p","PR00452",424,434,"PRINTS",1963715,"YDR388W"
"801","YDR388W","Rvs167p","PR00452",438,453,"PRINTS",1963716,"YDR388W"
"802","YDR388W","Rvs167p","PR00452",457,466,"PRINTS",1963717,"YDR388W"
"803","YDR388W","Rvs167p","PR00452",468,480,"PRINTS",1963718,"YDR388W"
"804","YDR388W","Rvs167p","PS50002",421,482,"PROSITE",1963719,"YDR388W"
"805","YDR388W","Rvs167p","PS51021",17,254,"PROSITE",1963720,"YDR388W"
"806","YDR388W","Rvs167p","SM00326",424,481,"SMART",1963722,"YDR388W"
"807","YDR388W","Rvs167p","SM00721",5,247,"SMART",1963723,"YDR388W"
"808","YDR388W","Rvs167p","SSF50044",419,480,"SUPERFAMILY",1963725,"YDR388W"
"809","YDR398W","Utp5p","G3DSA:2.130.10.10",1,278,"GENE3D",1977064,"YDR398W"
"810","YDR398W","Utp5p","SSF50978",40,256,"SUPERFAMILY",1977068,"YDR398W"
"811","YDR416W","Syf1p","G3DSA:1.25.40.10",25,182,"GENE3D",1976896,"YDR416W"
"812","YDR416W","Syf1p","G3DSA:1.25.40.10",196,379,"GENE3D",1976897,"YDR416W"
"813","YDR416W","Syf1p","G3DSA:1.25.40.10",397,536,"GENE3D",1976898,"YDR416W"
"814","YDR416W","Syf1p","G3DSA:1.25.40.10",539,808,"GENE3D",1976899,"YDR416W"
"815","YDR416W","Syf1p","SSF48452",27,526,"SUPERFAMILY",1976910,"YDR416W"
"816","YDR416W","Syf1p","SSF48452",541,802,"SUPERFAMILY",1976911,"YDR416W"
"817","YDR422C","Sip1p","PF04739",728,803,"Pfam",1954134,"YDR422C"
"818","YDR422C","Sip1p","SM01010",684,804,"SMART",1954138,"YDR422C"
"819","YDR427W","Rpn9p","PF01399",250,351,"Pfam",1976942,"YDR427W"
"820","YDR427W","Rpn9p","SM00088",282,373,"SMART",1976944,"YDR427W"
"821","YDR448W","Ada2p","PS50934",349,434,"PROSITE",1975013,"YDR448W"
"822","YDR449C","Utp6p","G3DSA:1.25.40.10",38,231,"GENE3D",1975022,"YDR449C"
"823","YDR449C","Utp6p","SSF48452",22,191,"SUPERFAMILY",1975028,"YDR449C"
"824","YDR488C","Pac11p","G3DSA:2.130.10.10",258,425,"GENE3D",1966626,"YDR488C"
"825","YDR488C","Pac11p","PS50082",430,475,"PROSITE",1966629,"YDR488C"
"826","YDR488C","Pac11p","PS50294",430,475,"PROSITE",1966630,"YDR488C"
"827","YDR488C","Pac11p","SSF50978",269,518,"SUPERFAMILY",1966633,"YDR488C"
"828","YDR501W","Plm2p","PF00498",104,149,"Pfam",1977395,"YDR501W"
"829","YDR501W","Plm2p","PS50006",102,150,"PROSITE",1977396,"YDR501W"
"830","YDR501W","Plm2p","SM00240",101,154,"SMART",1977399,"YDR501W"
"831","YDR501W","Plm2p","SSF49879",86,149,"SUPERFAMILY",1977400,"YDR501W"
"832","YDR510W","Smt3p","PS50053",22,98,"PROSITE",1983544,"YDR510W"
"833","YDR510W","Smt3p","SM00213",24,94,"SMART",1983547,"YDR510W"
"834","YEL013W","Vac8p","PF00514",86,113,"Pfam",1964207,"YEL013W"
"835","YEL013W","Vac8p","PF00514",115,154,"Pfam",1964208,"YEL013W"
"836","YEL013W","Vac8p","PF00514",157,195,"Pfam",1964209,"YEL013W"
"837","YEL013W","Vac8p","PF00514",197,236,"Pfam",1964210,"YEL013W"
"838","YEL013W","Vac8p","PF00514",252,280,"Pfam",1964211,"YEL013W"
"839","YEL013W","Vac8p","PF00514",287,320,"Pfam",1964212,"YEL013W"
"840","YEL013W","Vac8p","PF00514",328,363,"Pfam",1964213,"YEL013W"
"841","YEL013W","Vac8p","PF00514",411,446,"Pfam",1964214,"YEL013W"
"842","YEL013W","Vac8p","PS50176",85,127,"PROSITE",1964215,"YEL013W"
"843","YEL013W","Vac8p","PS50176",126,168,"PROSITE",1964216,"YEL013W"
"844","YEL013W","Vac8p","PS50176",167,209,"PROSITE",1964217,"YEL013W"
"845","YEL013W","Vac8p","PS50176",208,245,"PROSITE",1964218,"YEL013W"
"846","YEL013W","Vac8p","PS50176",251,293,"PROSITE",1964219,"YEL013W"
"847","YEL013W","Vac8p","PS50176",292,334,"PROSITE",1964220,"YEL013W"
"848","YEL013W","Vac8p","PS50176",333,376,"PROSITE",1964221,"YEL013W"
"849","YEL013W","Vac8p","SM00185",71,114,"SMART",1964224,"YEL013W"
"850","YEL013W","Vac8p","SM00185",115,155,"SMART",1964225,"YEL013W"
"851","YEL013W","Vac8p","SM00185",156,196,"SMART",1964226,"YEL013W"
"852","YEL013W","Vac8p","SM00185",197,237,"SMART",1964227,"YEL013W"
"853","YEL013W","Vac8p","SM00185",240,280,"SMART",1964228,"YEL013W"
"854","YEL013W","Vac8p","SM00185",281,321,"SMART",1964229,"YEL013W"
"855","YEL013W","Vac8p","SM00185",322,363,"SMART",1964230,"YEL013W"
"856","YEL013W","Vac8p","SM00185",364,405,"SMART",1964231,"YEL013W"
"857","YEL013W","Vac8p","SM00185",406,446,"SMART",1964232,"YEL013W"
"858","YEL025C","Yel025Cp","G3DSA:2.130.10.10",559,1142,"GENE3D",1964384,"YEL025C"
"859","YEL025C","Yel025Cp","SSF50978",565,704,"SUPERFAMILY",1964385,"YEL025C"
"860","YEL025C","Yel025Cp","SSF50978",838,911,"SUPERFAMILY",1964386,"YEL025C"
"861","YEL025C","Yel025Cp","SSF50978",1005,1041,"SUPERFAMILY",1964387,"YEL025C"
"862","YEL037C","Rad23p","PF00240",4,75,"Pfam",1954520,"YEL037C"
"863","YEL037C","Rad23p","PS50053",2,77,"PROSITE",1954530,"YEL037C"
"864","YEL037C","Rad23p","SM00213",2,73,"SMART",1954535,"YEL037C"
"865","YEL037C","Rad23p","SSF46934",132,189,"SUPERFAMILY",1954538,"YEL037C"
"866","YEL037C","Rad23p","SSF46934",349,397,"SUPERFAMILY",1954539,"YEL037C"
"867","YEL056W","Hat2p","G3DSA:2.130.10.10",2,388,"GENE3D",1964290,"YEL056W"
"868","YEL056W","Hat2p","PF00400",286,324,"Pfam",1964291,"YEL056W"
"869","YEL056W","Hat2p","PS50082",156,198,"PROSITE",1964295,"YEL056W"
"870","YEL056W","Hat2p","PS50082",291,333,"PROSITE",1964296,"YEL056W"
"871","YEL056W","Hat2p","PS50294",156,390,"PROSITE",1964297,"YEL056W"
"872","YEL056W","Hat2p","SM00320",108,147,"SMART",1964300,"YEL056W"
"873","YEL056W","Hat2p","SM00320",149,189,"SMART",1964301,"YEL056W"
"874","YEL056W","Hat2p","SM00320",196,237,"SMART",1964302,"YEL056W"
"875","YEL056W","Hat2p","SM00320",241,280,"SMART",1964303,"YEL056W"
"876","YEL056W","Hat2p","SM00320",284,324,"SMART",1964304,"YEL056W"
"877","YEL056W","Hat2p","SM00320",341,381,"SMART",1964305,"YEL056W"
"878","YEL056W","Hat2p","SSF50978",116,386,"SUPERFAMILY",1964306,"YEL056W"
"879","YER007W","Pac2p","PF13516",228,246,"Pfam",1963909,"YER007W"
"880","YER007W","Pac2p","PF13516",254,266,"Pfam",1963910,"YER007W"
"881","YER021W","Rpn3p","PF01399",344,445,"Pfam",1964496,"YER021W"
"882","YER021W","Rpn3p","SM00088",378,468,"SMART",1964500,"YER021W"
"883","YER027C","Gal83p","PF04739",346,415,"Pfam",1977840,"YER027C"
"884","YER027C","Gal83p","SM01010",304,416,"SMART",1977844,"YER027C"
"885","YER054C","Gip2p","PF03370",436,533,"Pfam",1964607,"YER054C"
"886","YER054C","Gip2p","PS51159",419,534,"PROSITE",1964609,"YER054C"
"887","YER066W","Rrt13p","G3DSA:2.130.10.10",1,185,"GENE3D",1964638,"YER066W"
"888","YER066W","Rrt13p","PF00400",2,39,"Pfam",1964639,"YER066W"
"889","YER066W","Rrt13p","PF00400",66,99,"Pfam",1964640,"YER066W"
"890","YER066W","Rrt13p","PS50082",7,42,"PROSITE",1964645,"YER066W"
"891","YER066W","Rrt13p","PS50082",69,102,"PROSITE",1964646,"YER066W"
"892","YER066W","Rrt13p","PS50294",7,148,"PROSITE",1964647,"YER066W"
"893","YER066W","Rrt13p","SM00320",1,39,"SMART",1964650,"YER066W"
"894","YER066W","Rrt13p","SM00320",62,99,"SMART",1964651,"YER066W"
"895","YER066W","Rrt13p","SM00320",101,139,"SMART",1964652,"YER066W"
"896","YER066W","Rrt13p","SSF50978",2,176,"SUPERFAMILY",1964653,"YER066W"
"897","YER082C","Utp7p","G3DSA:2.130.10.10",7,544,"GENE3D",1964721,"YER082C"
"898","YER082C","Utp7p","PS50082",270,311,"PROSITE",1964725,"YER082C"
"899","YER082C","Utp7p","PS50294",186,311,"PROSITE",1964726,"YER082C"
"900","YER082C","Utp7p","SM00320",180,218,"SMART",1964729,"YER082C"
"901","YER082C","Utp7p","SM00320",221,260,"SMART",1964730,"YER082C"
"902","YER082C","Utp7p","SM00320",263,302,"SMART",1964731,"YER082C"
"903","YER082C","Utp7p","SSF50978",109,342,"SUPERFAMILY",1964733,"YER082C"
"904","YER105C","Nup157p","G3DSA:2.130.10.10",134,473,"GENE3D",1964758,"YER105C"
"905","YER107C","Gle2p","G3DSA:2.130.10.10",8,365,"GENE3D",1964764,"YER107C"
"906","YER107C","Gle2p","PF00400",38,65,"Pfam",1964765,"YER107C"
"907","YER107C","Gle2p","PF00400",77,108,"Pfam",1964766,"YER107C"
"908","YER107C","Gle2p","PF00400",134,153,"Pfam",1964767,"YER107C"
"909","YER107C","Gle2p","PF00400",267,297,"Pfam",1964768,"YER107C"
"910","YER107C","Gle2p","PS50082",32,69,"PROSITE",1964772,"YER107C"
"911","YER107C","Gle2p","PS50082",76,117,"PROSITE",1964773,"YER107C"
"912","YER107C","Gle2p","PS50082",140,162,"PROSITE",1964774,"YER107C"
"913","YER107C","Gle2p","PS50082",272,297,"PROSITE",1964775,"YER107C"
"914","YER107C","Gle2p","PS50294",32,162,"PROSITE",1964776,"YER107C"
"915","YER107C","Gle2p","SM00320",26,65,"SMART",1964779,"YER107C"
"916","YER107C","Gle2p","SM00320",68,108,"SMART",1964780,"YER107C"
"917","YER107C","Gle2p","SM00320",110,153,"SMART",1964781,"YER107C"
"918","YER107C","Gle2p","SM00320",242,297,"SMART",1964782,"YER107C"
"919","YER107C","Gle2p","SSF50978",35,332,"SUPERFAMILY",1964783,"YER107C"
"920","YER109C","Flo8p","PF08513",77,101,"Pfam",1964784,"YER109C"
"921","YER109C","Flo8p","PS50896",73,105,"PROSITE",1964785,"YER109C"
"922","YER109C","Flo8p","SM00667",73,105,"SMART",1964788,"YER109C"
"923","YER111C","Swi4p","PS50088",520,552,"PROSITE",1950196,"YER111C"
"924","YER111C","Swi4p","PS50088",641,673,"PROSITE",1950197,"YER111C"
"925","YER111C","Swi4p","SM00248",520,549,"SMART",1950203,"YER111C"
"926","YER111C","Swi4p","SM00248",641,670,"SMART",1950204,"YER111C"
"927","YER114C","Boi2p","PF00018",49,99,"Pfam",1964237,"YER114C"
"928","YER114C","Boi2p","PF07647",264,328,"Pfam",1964239,"YER114C"
"929","YER114C","Boi2p","PS50002",43,107,"PROSITE",1964240,"YER114C"
"930","YER114C","Boi2p","PS50105",266,330,"PROSITE",1964242,"YER114C"
"931","YER114C","Boi2p","SM00326",46,106,"SMART",1964246,"YER114C"
"932","YER114C","Boi2p","SM00454",263,330,"SMART",1964247,"YER114C"
"933","YER114C","Boi2p","SSF50044",44,105,"SUPERFAMILY",1964249,"YER114C"
"934","YER118C","Sho1p","PF00018",306,353,"Pfam",1964820,"YER118C"
"935","YER118C","Sho1p","PR00452",303,313,"PRINTS",1964821,"YER118C"
"936","YER118C","Sho1p","PR00452",319,334,"PRINTS",1964822,"YER118C"
"937","YER118C","Sho1p","PR00452",335,344,"PRINTS",1964823,"YER118C"
"938","YER118C","Sho1p","PR00452",347,359,"PRINTS",1964824,"YER118C"
"939","YER118C","Sho1p","PS50002",300,361,"PROSITE",1964825,"YER118C"
"940","YER118C","Sho1p","SM00326",303,360,"SMART",1964828,"YER118C"
"941","YER118C","Sho1p","SSF50044",302,362,"SUPERFAMILY",1964829,"YER118C"
"942","YER124C","Dse1p","G3DSA:2.130.10.10",18,294,"GENE3D",1964840,"YER124C"
"943","YER124C","Dse1p","G3DSA:2.130.10.10",295,497,"GENE3D",1964841,"YER124C"
"944","YER124C","Dse1p","SM00320",120,176,"SMART",1964842,"YER124C"
"945","YER124C","Dse1p","SM00320",347,386,"SMART",1964843,"YER124C"
"946","YER124C","Dse1p","SSF50978",99,437,"SUPERFAMILY",1964844,"YER124C"
"947","YER125W","Rsp5p","PF00397",231,260,"Pfam",1963934,"YER125W"
"948","YER125W","Rsp5p","PF00397",333,362,"Pfam",1963935,"YER125W"
"949","YER125W","Rsp5p","PF00397",389,418,"Pfam",1963936,"YER125W"
"950","YER125W","Rsp5p","PS01159",235,260,"PROSITE",1963939,"YER125W"
"951","YER125W","Rsp5p","PS01159",337,362,"PROSITE",1963940,"YER125W"
"952","YER125W","Rsp5p","PS01159",393,418,"PROSITE",1963941,"YER125W"
"953","YER125W","Rsp5p","PS50020",229,262,"PROSITE",1963943,"YER125W"
"954","YER125W","Rsp5p","PS50020",331,364,"PROSITE",1963944,"YER125W"
"955","YER125W","Rsp5p","PS50020",387,420,"PROSITE",1963945,"YER125W"
"956","YER125W","Rsp5p","SM00456",230,262,"SMART",1963951,"YER125W"
"957","YER125W","Rsp5p","SM00456",332,364,"SMART",1963952,"YER125W"
"958","YER125W","Rsp5p","SM00456",388,420,"SMART",1963953,"YER125W"
"959","YER125W","Rsp5p","SSF51045",224,262,"SUPERFAMILY",1963955,"YER125W"
"960","YER125W","Rsp5p","SSF51045",328,367,"SUPERFAMILY",1963956,"YER125W"
"961","YER125W","Rsp5p","SSF51045",380,422,"SUPERFAMILY",1963957,"YER125W"
"962","YER132C","Pmd1p","G3DSA:2.120.10.80",344,563,"GENE3D",1954550,"YER132C"
"963","YER132C","Pmd1p","SSF117281",76,244,"SUPERFAMILY",1954555,"YER132C"
"964","YER132C","Pmd1p","SSF117281",381,467,"SUPERFAMILY",1954556,"YER132C"
"965","YER143W","Ddi1p","SSF46934",378,427,"SUPERFAMILY",1964880,"YER143W"
"966","YFL008W","Smc1p","PF06470",527,641,"Pfam",1955477,"YFL008W"
"967","YFL008W","Smc1p","SM00968",527,642,"SMART",1955481,"YFL008W"
"968","YFL008W","Smc1p","SSF75553",489,686,"SUPERFAMILY",1955485,"YFL008W"
"969","YFL009W","Cdc4p","G3DSA:2.130.10.10",370,744,"GENE3D",1942887,"YFL009W"
"970","YFL009W","Cdc4p","PF00400",375,408,"Pfam",1942888,"YFL009W"
"971","YFL009W","Cdc4p","PF00400",415,449,"Pfam",1942889,"YFL009W"
"972","YFL009W","Cdc4p","PF00400",453,493,"Pfam",1942890,"YFL009W"
"973","YFL009W","Cdc4p","PF00400",523,556,"Pfam",1942891,"YFL009W"
"974","YFL009W","Cdc4p","PF00400",561,598,"Pfam",1942892,"YFL009W"
"975","YFL009W","Cdc4p","PF12937",275,321,"Pfam",1942893,"YFL009W"
"976","YFL009W","Cdc4p","PS50082",418,458,"PROSITE",1942902,"YFL009W"
"977","YFL009W","Cdc4p","PS50082",459,502,"PROSITE",1942903,"YFL009W"
"978","YFL009W","Cdc4p","PS50082",526,565,"PROSITE",1942904,"YFL009W"
"979","YFL009W","Cdc4p","PS50082",566,601,"PROSITE",1942905,"YFL009W"
"980","YFL009W","Cdc4p","PS50082",628,667,"PROSITE",1942906,"YFL009W"
"981","YFL009W","Cdc4p","PS50181",272,319,"PROSITE",1942907,"YFL009W"
"982","YFL009W","Cdc4p","PS50294",377,707,"PROSITE",1942908,"YFL009W"
"983","YFL009W","Cdc4p","SM00256",278,318,"SMART",1942911,"YFL009W"
"984","YFL009W","Cdc4p","SM00320",370,408,"SMART",1942912,"YFL009W"
"985","YFL009W","Cdc4p","SM00320",411,449,"SMART",1942913,"YFL009W"
"986","YFL009W","Cdc4p","SM00320",452,493,"SMART",1942914,"YFL009W"
"987","YFL009W","Cdc4p","SM00320",519,556,"SMART",1942915,"YFL009W"
"988","YFL009W","Cdc4p","SM00320",559,598,"SMART",1942916,"YFL009W"
"989","YFL009W","Cdc4p","SM00320",621,658,"SMART",1942917,"YFL009W"
"990","YFL009W","Cdc4p","SM00320",661,698,"SMART",1942918,"YFL009W"
"991","YFL009W","Cdc4p","SSF50978",373,734,"SUPERFAMILY",1942919,"YFL009W"
"992","YFL009W","Cdc4p","SSF81383",270,368,"SUPERFAMILY",1942920,"YFL009W"
"993","YFL010C","Wwm1p","PF00397",11,41,"Pfam",1967890,"YFL010C"
"994","YFL010C","Wwm1p","PS01159",15,41,"PROSITE",1967891,"YFL010C"
"995","YFL010C","Wwm1p","PS50020",9,43,"PROSITE",1967892,"YFL010C"
"996","YFL010C","Wwm1p","SM00456",10,43,"SMART",1967895,"YFL010C"
"997","YFL010C","Wwm1p","SSF51045",7,43,"SUPERFAMILY",1967896,"YFL010C"
"998","YFR004W","Rpn11p","PF01398",24,133,"Pfam",1967921,"YFR004W"
"999","YFR004W","Rpn11p","SM00232",26,161,"SMART",1967925,"YFR004W"
"1000","YFR010W","Ubp6p","SM00213",6,76,"SMART",1967964,"YFR010W"
"1001","YFR021W","Atg18p","G3DSA:2.130.10.10",1,446,"GENE3D",1967983,"YFR021W"
"1002","YFR021W","Atg18p","PF00400",236,269,"Pfam",1967984,"YFR021W"
"1003","YFR021W","Atg18p","PF00400",287,317,"Pfam",1967985,"YFR021W"
"1004","YFR021W","Atg18p","PS50294",241,327,"PROSITE",1967986,"YFR021W"
"1005","YFR021W","Atg18p","SM00320",234,274,"SMART",1967989,"YFR021W"
"1006","YFR021W","Atg18p","SM00320",277,318,"SMART",1967990,"YFR021W"
"1007","YFR021W","Atg18p","SSF50978",7,153,"SUPERFAMILY",1967991,"YFR021W"
"1008","YFR021W","Atg18p","SSF50978",224,324,"SUPERFAMILY",1967992,"YFR021W"
"1009","YFR024C-A","Lsb3p","PF00018",406,453,"Pfam",1967999,"YFR024C-A"
"1010","YFR024C-A","Lsb3p","PR00452",403,413,"PRINTS",1968001,"YFR024C-A"
