"Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id"
"YBR217W","Atg12p","SSF54236","102","185","SUPERFAMILY","1960136"
"YBR218C","Pyc2p","G3DSA:1.10.10.60","969","1015","GENE3D","1952924"
"YBR218C","Pyc2p","G3DSA:2.40.50.100","1099","1171","GENE3D","1952925"
"YBR218C","Pyc2p","G3DSA:3.10.600.10","479","546","GENE3D","1952926"
"YBR218C","Pyc2p","G3DSA:3.10.600.10","1016","1086","GENE3D","1952927"
"YBR218C","Pyc2p","G3DSA:3.20.20.70","547","856","GENE3D","1952928"
"YBR218C","Pyc2p","G3DSA:3.30.1490.20","145","230","GENE3D","1952929"
"YBR218C","Pyc2p","G3DSA:3.30.470.20","231","469","GENE3D","1952930"
"YBR218C","Pyc2p","G3DSA:3.40.50.20","20","144","GENE3D","1952931"
"YBR218C","Pyc2p","PF00289","21","131","Pfam","1952932"
"YBR218C","Pyc2p","PF00364","1102","1169","Pfam","1952933"
"YBR218C","Pyc2p","PF00682","560","828","Pfam","1952934"
"YBR218C","Pyc2p","PF02436","852","1052","Pfam","1952935"
"YBR218C","Pyc2p","PF02785","360","467","Pfam","1952936"
"YBR218C","Pyc2p","PF02786","136","344","Pfam","1952937"
"YBR218C","Pyc2p","PIRSF001594","16","1171","PIRSF","1952938"
"YBR218C","Pyc2p","PS00188","1126","1143","PROSITE","1952939"
"YBR218C","Pyc2p","PS00866","174","188","PROSITE","1952940"
"YBR218C","Pyc2p","PS00867","307","314","PROSITE","1952941"
"YBR218C","Pyc2p","PS50968","1095","1170","PROSITE","1952942"
"YBR218C","Pyc2p","PS50975","141","338","PROSITE","1952943"
"YBR218C","Pyc2p","PS50979","19","471","PROSITE","1952944"
"YBR218C","Pyc2p","PS50991","558","825","PROSITE","1952945"
"YBR218C","Pyc2p","PTHR43778","19","1170","PANTHER","1952946"
"YBR218C","Pyc2p","PTHR43778:SF4","19","1170","PANTHER","1952947"
"YBR218C","Pyc2p","SM00878","360","467","SMART","1952948"
"YBR218C","Pyc2p","SSF51230","1091","1170","SUPERFAMILY","1952949"
"YBR218C","Pyc2p","SSF51246","355","473","SUPERFAMILY","1952950"
"YBR218C","Pyc2p","SSF51569","553","860","SUPERFAMILY","1952951"
"YBR218C","Pyc2p","SSF52440","18","132","SUPERFAMILY","1952952"
"YBR218C","Pyc2p","SSF56059","104","374","SUPERFAMILY","1952953"
"YBR218C","Pyc2p","SSF89000","857","1031","SUPERFAMILY","1952954"
"YBR218C","Pyc2p","TIGR01235","22","1170","TIGRFAM","1952955"
"YBR219C","Ybr219Cp","PF13000","1","100","Pfam","1960137"
"YBR219C","Ybr219Cp","PTHR12778","1","101","PANTHER","1960138"
"YBR219C","Ybr219Cp","PTHR12778:SF13","1","101","PANTHER","1960139"
"YBR220C","Ybr220Cp","G3DSA:1.20.1250.20","9","245","GENE3D","1960140"
"YBR220C","Ybr220Cp","G3DSA:1.20.1250.20","285","546","GENE3D","1960141"
"YBR220C","Ybr220Cp","PF13000","17","559","Pfam","1960142"
"YBR220C","Ybr220Cp","PTHR12778","4","559","PANTHER","1960143"
"YBR220C","Ybr220Cp","PTHR12778:SF13","4","559","PANTHER","1960144"
"YBR220C","Ybr220Cp","SSF103473","12","249","SUPERFAMILY","1960145"
"YBR220C","Ybr220Cp","SSF103473","277","484","SUPERFAMILY","1960146"
"YBR220C","Ybr220Cp","SSF103473","522","540","SUPERFAMILY","1960147"
"YBR221C","Pdb1p","G3DSA:3.40.50.920","233","364","GENE3D","1953580"
"YBR221C","Pdb1p","G3DSA:3.40.50.970","35","232","GENE3D","1953581"
"YBR221C","Pdb1p","PF02779","38","213","Pfam","1953582"
"YBR221C","Pdb1p","PF02780","232","355","Pfam","1953583"
"YBR221C","Pdb1p","PTHR11624","28","365","PANTHER","1953584"
"YBR221C","Pdb1p","PTHR11624:SF89","28","365","PANTHER","1953585"
"YBR221C","Pdb1p","SM00861","39","214","SMART","1953586"
"YBR221C","Pdb1p","SSF52518","37","220","SUPERFAMILY","1953587"
"YBR221C","Pdb1p","SSF52922","232","364","SUPERFAMILY","1953588"
"YBR222C","Pcs60p","G3DSA:2.30.38.10","348","432","GENE3D","1959246"
"YBR222C","Pcs60p","G3DSA:3.30.300.30","434","540","GENE3D","1959247"
"YBR222C","Pcs60p","G3DSA:3.40.50.980","5","198","GENE3D","1959248"
"YBR222C","Pcs60p","G3DSA:3.40.50.980","199","347","GENE3D","1959249"
"YBR222C","Pcs60p","PF00501","19","439","Pfam","1959250"
"YBR222C","Pcs60p","PF13193","448","523","Pfam","1959251"
"YBR222C","Pcs60p","PS00455","194","205","PROSITE","1959252"
"YBR222C","Pcs60p","PTHR43201","3","535","PANTHER","1959253"
"YBR222C","Pcs60p","PTHR43201:SF7","3","535","PANTHER","1959254"
"YBR222C","Pcs60p","SSF56801","18","535","SUPERFAMILY","1959255"
"YBR223C","Tdp1p","G3DSA:3.30.870.10","78","267","GENE3D","1960148"
"YBR223C","Tdp1p","G3DSA:3.30.870.20","268","544","GENE3D","1960149"
"YBR223C","Tdp1p","PF06087","85","529","Pfam","1960150"
"YBR223C","Tdp1p","PTHR12415","65","538","PANTHER","1960151"
"YBR223C","Tdp1p","PTHR12415:SF3","65","538","PANTHER","1960152"
"YBR223C","Tdp1p","SSF56024","81","288","SUPERFAMILY","1960153"
"YBR223C","Tdp1p","SSF56024","303","537","SUPERFAMILY","1960154"
"YBR225W","Ybr225Wp","G3DSA:3.40.50.150","427","832","GENE3D","1960155"
"YBR225W","Ybr225Wp","SSF53335","697","820","SUPERFAMILY","1960156"
"YBR227C","Mcx1p","G3DSA:1.10.8.60","372","463","GENE3D","1960157"
"YBR227C","Mcx1p","G3DSA:3.40.50.300","28","370","GENE3D","1960158"
"YBR227C","Mcx1p","PF07724","133","366","Pfam","1960159"
"YBR227C","Mcx1p","PF10431","372","437","Pfam","1960160"
"YBR227C","Mcx1p","PTHR11262","5","475","PANTHER","1960161"
"YBR227C","Mcx1p","PTHR11262:SF15","5","475","PANTHER","1960162"
"YBR227C","Mcx1p","SM00382","132","294","SMART","1960163"
"YBR227C","Mcx1p","SM01086","372","467","SMART","1960164"
"YBR227C","Mcx1p","SSF52540","34","76","SUPERFAMILY","1960165"
"YBR227C","Mcx1p","SSF52540","129","316","SUPERFAMILY","1960166"
"YBR227C","Mcx1p","SSF52540","344","458","SUPERFAMILY","1960167"
"YBR228W","Slx1p","G3DSA:3.40.1440.10","1","212","GENE3D","1960168"
"YBR228W","Slx1p","MF_03100","9","304","HAMAP","1960169"
"YBR228W","Slx1p","PF01541","14","91","Pfam","1960170"
"YBR228W","Slx1p","PS50164","12","95","PROSITE","1960171"
"YBR228W","Slx1p","PTHR20208","1","298","PANTHER","1960172"
"YBR228W","Slx1p","PTHR20208:SF15","1","298","PANTHER","1960173"
"YBR228W","Slx1p","SM00465","12","103","SMART","1960174"
"YBR228W","Slx1p","SSF82771","13","92","SUPERFAMILY","1960175"
"YBR229C","Rot2p","G3DSA:2.60.40.1180","755","811","GENE3D","1959256"
"YBR229C","Rot2p","G3DSA:2.60.40.1180","812","954","GENE3D","1959257"
"YBR229C","Rot2p","G3DSA:2.60.40.1760","16","360","GENE3D","1959258"
"YBR229C","Rot2p","G3DSA:3.20.20.80","361","754","GENE3D","1959259"
"YBR229C","Rot2p","PF01055","364","809","Pfam","1959260"
"YBR229C","Rot2p","PF13802","269","337","Pfam","1959261"
"YBR229C","Rot2p","PF17137","833","869","Pfam","1959262"
"YBR229C","Rot2p","PS00129","533","540","PROSITE","1959263"
"YBR229C","Rot2p","PTHR22762","12","952","PANTHER","1959264"
"YBR229C","Rot2p","PTHR22762:SF106","12","952","PANTHER","1959265"
"YBR229C","Rot2p","SSF51011","720","803","SUPERFAMILY","1959266"
"YBR229C","Rot2p","SSF51445","371","718","SUPERFAMILY","1959267"
"YBR229C","Rot2p","SSF74650","51","121","SUPERFAMILY","1959268"
"YBR229C","Rot2p","SSF74650","164","218","SUPERFAMILY","1959269"
"YBR229C","Rot2p","SSF74650","249","367","SUPERFAMILY","1959270"
"YBR230C","Om14p","PD869516","23","134","ProDom","1960176"
"YBR230C","Om14p","PF17304","66","134","Pfam","1960177"
"YBR230C","Om14p","PTHR38402","6","134","PANTHER","1960178"
"YBR231C","Swc5p","PF07572","231","289","Pfam","1960179"
"YBR231C","Swc5p","PS51279","217","294","PROSITE","1960180"
"YBR231C","Swc5p","PTHR23227","22","293","PANTHER","1960181"
"YBR231C","Swc5p","PTHR23227:SF54","22","293","PANTHER","1960182"
"YBR233W","Pbp2p","G3DSA:3.30.1370.10","51","140","GENE3D","1959433"
"YBR233W","Pbp2p","G3DSA:3.30.1370.10","141","263","GENE3D","1959434"
"YBR233W","Pbp2p","G3DSA:3.30.1370.10","287","405","GENE3D","1959435"
"YBR233W","Pbp2p","PF00013","70","130","Pfam","1959436"
"YBR233W","Pbp2p","PF00013","152","214","Pfam","1959437"
"YBR233W","Pbp2p","PF00013","333","395","Pfam","1959438"
"YBR233W","Pbp2p","PS50084","66","130","PROSITE","1959439"
"YBR233W","Pbp2p","PS50084","148","213","PROSITE","1959440"
"YBR233W","Pbp2p","PS50084","330","394","PROSITE","1959441"
"YBR233W","Pbp2p","PTHR10288","35","406","PANTHER","1959442"
"YBR233W","Pbp2p","PTHR10288:SF184","35","406","PANTHER","1959443"
"YBR233W","Pbp2p","SM00322","65","135","SMART","1959444"
"YBR233W","Pbp2p","SM00322","147","218","SMART","1959445"
"YBR233W","Pbp2p","SM00322","329","399","SMART","1959446"
"YBR233W","Pbp2p","SSF54791","60","136","SUPERFAMILY","1959447"
"YBR233W","Pbp2p","SSF54791","148","224","SUPERFAMILY","1959448"
"YBR233W","Pbp2p","SSF54791","327","398","SUPERFAMILY","1959449"
"YBR233W-A","Dad3p","PF08656","5","87","Pfam","1974225"
"YBR233W-A","Dad3p","PTHR28017","2","92","PANTHER","1974226"
"YBR233W-A","Dad3p","PTHR28017:SF2","2","92","PANTHER","1974227"
"YBR234C","Arc40p","G3DSA:2.130.10.10","12","384","GENE3D","1960183"
"YBR234C","Arc40p","PF00400","57","89","Pfam","1960184"
"YBR234C","Arc40p","PF00400","151","180","Pfam","1960185"
"YBR234C","Arc40p","PIRSF038093","9","384","PIRSF","1960186"
"YBR234C","Arc40p","PTHR10709","12","384","PANTHER","1960187"
"YBR234C","Arc40p","PTHR10709:SF20","12","384","PANTHER","1960188"
"YBR234C","Arc40p","SM00320","8","46","SMART","1960189"
"YBR234C","Arc40p","SM00320","52","90","SMART","1960190"
"YBR234C","Arc40p","SM00320","96","135","SMART","1960191"
"YBR234C","Arc40p","SM00320","145","181","SMART","1960192"
"YBR234C","Arc40p","SM00320","204","242","SMART","1960193"
"YBR234C","Arc40p","SSF50978","20","294","SUPERFAMILY","1960194"
"YBR234C","Arc40p","SSF50978","336","383","SUPERFAMILY","1960195"
"YBR235W","Vhc1p","PF00324","68","543","Pfam","1960196"
"YBR235W","Vhc1p","PF03522","555","639","Pfam","1960197"
"YBR235W","Vhc1p","PTHR11827","59","1119","PANTHER","1960198"
"YBR235W","Vhc1p","PTHR11827:SF71","59","1119","PANTHER","1960199"
"YBR236C","Abd1p","G3DSA:3.40.50.150","122","424","GENE3D","1954801"
"YBR236C","Abd1p","PF03291","110","424","Pfam","1954802"
"YBR236C","Abd1p","PIRSF028762","1","426","PIRSF","1954803"
"YBR236C","Abd1p","PS51562","101","430","PROSITE","1954804"
"YBR236C","Abd1p","PTHR12189","7","423","PANTHER","1954805"
"YBR236C","Abd1p","PTHR12189:SF6","7","423","PANTHER","1954806"
"YBR236C","Abd1p","SSF53335","149","423","SUPERFAMILY","1954807"
"YBR237W","Prp5p","G3DSA:3.40.50.300","3","482","GENE3D","1948443"
"YBR237W","Prp5p","G3DSA:3.40.50.300","483","730","GENE3D","1948444"
"YBR237W","Prp5p","PF00270","280","453","Pfam","1948445"
"YBR237W","Prp5p","PF00271","522","619","Pfam","1948446"
"YBR237W","Prp5p","PS00039","413","421","PROSITE","1948447"
"YBR237W","Prp5p","PS51192","287","467","PROSITE","1948448"
"YBR237W","Prp5p","PS51194","502","661","PROSITE","1948449"
"YBR237W","Prp5p","PS51195","255","284","PROSITE","1948450"
"YBR237W","Prp5p","PTHR24031","68","849","PANTHER","1948451"
"YBR237W","Prp5p","PTHR24031:SF350","68","849","PANTHER","1948452"
"YBR237W","Prp5p","SM00487","275","482","SMART","1948453"
"YBR237W","Prp5p","SM00490","539","620","SMART","1948454"
"YBR237W","Prp5p","SSF52540","243","469","SUPERFAMILY","1948455"
"YBR237W","Prp5p","SSF52540","407","633","SUPERFAMILY","1948456"
"YBR239C","Ert1p","G3DSA:3.30.450.20","393","525","GENE3D","1959276"
"YBR239C","Ert1p","G3DSA:4.10.240.10","30","125","GENE3D","1959277"
"YBR239C","Ert1p","PF00172","39","77","Pfam","1959278"
"YBR239C","Ert1p","PF00989","411","527","Pfam","1959279"
"YBR239C","Ert1p","PS00463","39","68","PROSITE","1959280"
"YBR239C","Ert1p","PS50048","39","70","PROSITE","1959281"
"YBR239C","Ert1p","PS50112","429","480","PROSITE","1959282"
"YBR239C","Ert1p","PTHR31986","1","529","PANTHER","1959283"
"YBR239C","Ert1p","PTHR31986:SF13","1","529","PANTHER","1959284"
"YBR239C","Ert1p","SM00066","34","79","SMART","1959285"
"YBR239C","Ert1p","SM00091","410","475","SMART","1959286"
"YBR239C","Ert1p","SSF55785","420","524","SUPERFAMILY","1959287"
"YBR239C","Ert1p","SSF57701","32","69","SUPERFAMILY","1959288"
"YBR239C","Ert1p","TIGR00229","419","474","TIGRFAM","1959289"
"YBR240C","Thi2p","G3DSA:4.10.240.10","27","145","GENE3D","1959290"
"YBR240C","Thi2p","PF00172","28","64","Pfam","1959291"
"YBR240C","Thi2p","PS00463","29","57","PROSITE","1959292"
"YBR240C","Thi2p","PS50048","29","59","PROSITE","1959293"
"YBR240C","Thi2p","PTHR31069","3","129","PANTHER","1959294"
"YBR240C","Thi2p","SM00066","24","68","SMART","1959295"
"YBR240C","Thi2p","SSF57701","20","65","SUPERFAMILY","1959296"
"YBR241C","Ybr241Cp","G3DSA:1.20.1250.20","24","269","GENE3D","1959297"
"YBR241C","Ybr241Cp","G3DSA:1.20.1250.20","272","484","GENE3D","1959298"
"YBR241C","Ybr241Cp","PF00083","28","481","Pfam","1959299"
"YBR241C","Ybr241Cp","PR00171","35","45","PRINTS","1959300"
"YBR241C","Ybr241Cp","PR00171","142","161","PRINTS","1959301"
"YBR241C","Ybr241Cp","PR00171","307","317","PRINTS","1959302"
"YBR241C","Ybr241Cp","PR00171","389","410","PRINTS","1959303"
"YBR241C","Ybr241Cp","PS00216","349","366","PROSITE","1959304"
"YBR241C","Ybr241Cp","PS00217","147","172","PROSITE","1959305"
"YBR241C","Ybr241Cp","PS50850","27","476","PROSITE","1959306"
"YBR241C","Ybr241Cp","PS51257","1","32","PROSITE","1959307"
"YBR241C","Ybr241Cp","PTHR23503","28","481","PANTHER","1959308"
"YBR241C","Ybr241Cp","PTHR23503:SF64","28","481","PANTHER","1959309"
"YBR241C","Ybr241Cp","SSF103473","80","479","SUPERFAMILY","1959310"
"YBR241C","Ybr241Cp","TIGR00879","24","479","TIGRFAM","1959311"
"YBR242W","Ybr242Wp","G3DSA:1.10.3210.10","22","238","GENE3D","1960200"
"YBR242W","Ybr242Wp","PF13023","55","197","Pfam","1960201"
"YBR242W","Ybr242Wp","PTHR11845","40","226","PANTHER","1960202"
"YBR242W","Ybr242Wp","SM00471","73","192","SMART","1960203"
"YBR242W","Ybr242Wp","SSF109604","46","222","SUPERFAMILY","1960204"
"YBR243C","Alg7p","PF00953","133","304","Pfam","1942775"
"YBR243C","Alg7p","PTHR10571","7","441","PANTHER","1942776"
"YBR244W","Gpx2p","G3DSA:3.40.30.10","3","162","GENE3D","1959312"
"YBR244W","Gpx2p","PF00255","5","112","Pfam","1959313"
"YBR244W","Gpx2p","PIRSF000303","1","162","PIRSF","1959314"
"YBR244W","Gpx2p","PR01011","23","40","PRINTS","1959315"
"YBR244W","Gpx2p","PR01011","58","74","PRINTS","1959316"
"YBR244W","Gpx2p","PR01011","124","133","PRINTS","1959317"
"YBR244W","Gpx2p","PS00460","25","40","PROSITE","1959318"
"YBR244W","Gpx2p","PS00763","61","68","PROSITE","1959319"
"YBR244W","Gpx2p","PS51355","1","162","PROSITE","1959320"
"YBR244W","Gpx2p","PTHR11592","3","161","PANTHER","1959321"
"YBR244W","Gpx2p","PTHR11592:SF46","3","161","PANTHER","1959322"
"YBR244W","Gpx2p","SSF52833","3","160","SUPERFAMILY","1959323"
"YBR245C","Isw1p","G3DSA:1.10.10.60","884","968","GENE3D","1959324"
"YBR245C","Isw1p","G3DSA:1.10.10.60","972","1067","GENE3D","1959325"
"YBR245C","Isw1p","G3DSA:3.40.50.10810","156","422","GENE3D","1959326"
"YBR245C","Isw1p","G3DSA:3.40.50.300","490","654","GENE3D","1959327"
"YBR245C","Isw1p","PF00176","206","481","Pfam","1959328"
"YBR245C","Isw1p","PF00271","503","616","Pfam","1959329"
"YBR245C","Isw1p","PF09110","776","883","Pfam","1959330"
"YBR245C","Isw1p","PF09111","941","1057","Pfam","1959331"
"YBR245C","Isw1p","PS51192","208","373","PROSITE","1959332"
"YBR245C","Isw1p","PS51194","506","657","PROSITE","1959333"
"YBR245C","Isw1p","PS51293","882","935","PROSITE","1959334"
"YBR245C","Isw1p","PTHR10799","67","1031","PANTHER","1959335"
"YBR245C","Isw1p","PTHR10799:SF878","67","1031","PANTHER","1959336"
"YBR245C","Isw1p","SM00487","192","384","SMART","1959337"
"YBR245C","Isw1p","SM00490","532","616","SMART","1959338"
"YBR245C","Isw1p","SM00717","883","933","SMART","1959339"
"YBR245C","Isw1p","SM00717","988","1052","SMART","1959340"
"YBR245C","Isw1p","SSF101224","776","885","SUPERFAMILY","1959341"
"YBR245C","Isw1p","SSF46689","886","938","SUPERFAMILY","1959342"
"YBR245C","Isw1p","SSF46689","939","1058","SUPERFAMILY","1959343"
"YBR245C","Isw1p","SSF52540","177","412","SUPERFAMILY","1959344"
"YBR245C","Isw1p","SSF52540","414","669","SUPERFAMILY","1959345"
"YBR246W","Rrt2p","G3DSA:2.120.10.30","268","387","GENE3D","1960205"
"YBR246W","Rrt2p","G3DSA:2.130.10.10","1","267","GENE3D","1960206"
"YBR246W","Rrt2p","PTHR22850","8","385","PANTHER","1960207"
"YBR246W","Rrt2p","PTHR22850:SF145","8","385","PANTHER","1960208"
"YBR246W","Rrt2p","SM00320","54","93","SMART","1960209"
"YBR246W","Rrt2p","SM00320","186","228","SMART","1960210"
"YBR246W","Rrt2p","SM00320","231","277","SMART","1960211"
"YBR246W","Rrt2p","SM00320","347","386","SMART","1960212"
"YBR246W","Rrt2p","SSF50978","19","385","SUPERFAMILY","1960213"
"YBR247C","Enp1p","PF05291","156","467","Pfam","1960214"
"YBR247C","Enp1p","PTHR12821","1","477","PANTHER","1960215"
"YBR247C","Enp1p","PTHR12821:SF1","1","477","PANTHER","1960216"
"YBR248C","His7p","G3DSA:3.20.20.70","238","551","GENE3D","1956179"
"YBR248C","His7p","G3DSA:3.40.50.880","1","237","GENE3D","1956180"
"YBR248C","His7p","MF_00278","3","211","HAMAP","1956181"
"YBR248C","His7p","PF00117","6","210","Pfam","1956182"
"YBR248C","His7p","PF00977","239","532","Pfam","1956183"
"YBR248C","His7p","PIRSF036936","1","552","PIRSF","1956184"
"YBR248C","His7p","PS51273","3","218","PROSITE","1956185"
"YBR248C","His7p","PTHR21235","235","551","PANTHER","1956186"
"YBR248C","His7p","PTHR21235:SF24","235","551","PANTHER","1956187"
"YBR248C","His7p","SSF51366","233","549","SUPERFAMILY","1956188"
"YBR248C","His7p","SSF52317","2","222","SUPERFAMILY","1956189"
"YBR248C","His7p","TIGR00735","236","548","TIGRFAM","1956190"
"YBR248C","His7p","TIGR01855","4","210","TIGRFAM","1956191"
"YBR249C","Aro4p","G3DSA:3.20.20.70","23","370","GENE3D","1953405"
"YBR249C","Aro4p","PF00793","58","354","Pfam","1953406"
"YBR249C","Aro4p","PIRSF001361","9","368","PIRSF","1953407"
"YBR249C","Aro4p","PTHR21225","1","370","PANTHER","1953408"
"YBR249C","Aro4p","PTHR21225:SF13","1","370","PANTHER","1953409"
"YBR249C","Aro4p","SSF51569","24","367","SUPERFAMILY","1953410"
"YBR249C","Aro4p","TIGR00034","21","365","TIGRFAM","1953411"
"YBR250W","Spo23p","PF00339","167","265","Pfam","1956273"
"YBR251W","Mrps5p","G3DSA:3.30.160.20","143","205","GENE3D","1956274"
"YBR251W","Mrps5p","G3DSA:3.30.230.10","211","302","GENE3D","1956275"
"YBR251W","Mrps5p","PF00333","145","209","Pfam","1956276"
"YBR251W","Mrps5p","PF03719","223","293","Pfam","1956277"
"YBR251W","Mrps5p","PS00585","161","194","PROSITE","1956278"
"YBR251W","Mrps5p","PS50881","144","208","PROSITE","1956279"
"YBR251W","Mrps5p","PTHR13718","13","306","PANTHER","1956280"
"YBR251W","Mrps5p","PTHR13718:SF72","13","306","PANTHER","1956281"
"YBR251W","Mrps5p","SSF54211","214","292","SUPERFAMILY","1956282"
"YBR251W","Mrps5p","SSF54768","139","211","SUPERFAMILY","1956283"
"YBR252W","Dut1p","G3DSA:2.70.40.10","2","109","GENE3D","1955861"
"YBR252W","Dut1p","G3DSA:2.70.40.10","110","147","GENE3D","1955862"
"YBR252W","Dut1p","PF00692","18","146","Pfam","1955863"
"YBR252W","Dut1p","PTHR11241","1","146","PANTHER","1955864"
"YBR252W","Dut1p","SSF51283","1","146","SUPERFAMILY","1955865"
"YBR252W","Dut1p","TIGR00576","10","146","TIGRFAM","1955866"
"YBR253W","Srb6p","PF06179","8","115","Pfam","1954098"
"YBR253W","Srb6p","PIRSF007936","1","121","PIRSF","1954099"
"YBR254C","Trs20p","G3DSA:3.30.450.70","1","175","GENE3D","1960217"
"YBR254C","Trs20p","PF04628","7","171","Pfam","1960218"
"YBR254C","Trs20p","PTHR12403","2","173","PANTHER","1960219"
"YBR254C","Trs20p","PTHR12403:SF19","2","173","PANTHER","1960220"
"YBR254C","Trs20p","SSF64356","3","56","SUPERFAMILY","1960221"
"YBR254C","Trs20p","SSF64356","86","173","SUPERFAMILY","1960222"
"YBR255C-A","Rcf3p","PTHR39153","1","117","PANTHER","1985001"
"YBR255C-A","Rcf3p","PTHR39153:SF2","1","117","PANTHER","1985002"
"YBR255W","Mtc4p","PTHR38426","1","694","PANTHER","1960223"
"YBR255W","Mtc4p","PTHR38426:SF2","1","694","PANTHER","1960224"
"YBR256C","Rib5p","G3DSA:2.40.30.20","1","95","GENE3D","1959346"
"YBR256C","Rib5p","G3DSA:2.40.30.20","100","202","GENE3D","1959347"
"YBR256C","Rib5p","PF00677","3","93","Pfam","1959348"
"YBR256C","Rib5p","PF00677","106","195","Pfam","1959349"
"YBR256C","Rib5p","PIRSF000498","1","223","PIRSF","1959350"
"YBR256C","Rib5p","PS51177","1","103","PROSITE","1959351"
"YBR256C","Rib5p","PS51177","104","205","PROSITE","1959352"
"YBR256C","Rib5p","PTHR21098","1","232","PANTHER","1959353"
"YBR256C","Rib5p","PTHR21098:SF6","1","232","PANTHER","1959354"
"YBR256C","Rib5p","SSF63380","1","94","SUPERFAMILY","1959355"
"YBR256C","Rib5p","SSF63380","100","212","SUPERFAMILY","1959356"
"YBR256C","Rib5p","TIGR00187","1","217","TIGRFAM","1959357"
"YBR257W","Pop4p","G3DSA:2.30.30.210","167","271","GENE3D","1960225"
"YBR257W","Pop4p","PF01868","172","263","Pfam","1960226"
"YBR257W","Pop4p","PIRSF027081","1","274","PIRSF","1960227"
"YBR257W","Pop4p","PTHR13348","41","273","PANTHER","1960228"
"YBR257W","Pop4p","PTHR13348:SF1","41","273","PANTHER","1960229"
"YBR257W","Pop4p","SM00538","167","268","SMART","1960230"
"YBR257W","Pop4p","SSF101744","172","275","SUPERFAMILY","1960231"
"YBR258C","Shg1p","PD086658","5","132","ProDom","1960232"
"YBR258C","Shg1p","PF05205","11","127","Pfam","1960233"
"YBR258C","Shg1p","PTHR28034","3","107","PANTHER","1960234"
"YBR259W","Ybr259Wp","SSF75632","434","678","SUPERFAMILY","1960235"
"YBR260C","Rgd1p","G3DSA:1.10.555.10","135","666","GENE3D","1960236"
"YBR260C","Rgd1p","PF00620","486","639","Pfam","1960237"
"YBR260C","Rgd1p","PS50238","472","663","PROSITE","1960238"
"YBR260C","Rgd1p","PS51741","33","295","PROSITE","1960239"
"YBR260C","Rgd1p","PTHR23176","1","666","PANTHER","1960240"
"YBR260C","Rgd1p","PTHR23176:SF87","1","666","PANTHER","1960241"
"YBR260C","Rgd1p","SM00055","33","134","SMART","1960242"
"YBR260C","Rgd1p","SM00324","483","660","SMART","1960243"
"YBR260C","Rgd1p","SSF103657","47","305","SUPERFAMILY","1960244"
"YBR260C","Rgd1p","SSF48350","469","663","SUPERFAMILY","1960245"
"YBR261C","Tae1p","G3DSA:3.40.50.150","3","228","GENE3D","1960246"
"YBR261C","Tae1p","PF05891","6","228","Pfam","1960247"
"YBR261C","Tae1p","PIRSF016958","1","232","PIRSF","1960248"
"YBR261C","Tae1p","PTHR12753","10","231","PANTHER","1960249"
"YBR261C","Tae1p","PTHR12753:SF8","10","231","PANTHER","1960250"
"YBR261C","Tae1p","SSF53335","6","227","SUPERFAMILY","1960251"
"YBR262C","Mic12p","PF17050","17","105","Pfam","1960252"
"YBR263W","Shm1p","G3DSA:3.40.640.10","62","323","GENE3D","1958503"
"YBR263W","Shm1p","G3DSA:3.90.1150.10","324","487","GENE3D","1958504"
"YBR263W","Shm1p","MF_00051","32","488","HAMAP","1958505"
"YBR263W","Shm1p","PF00464","34","432","Pfam","1958506"
"YBR263W","Shm1p","PIRSF000412","12","479","PIRSF","1958507"
"YBR263W","Shm1p","PS00096","257","273","PROSITE","1958508"
"YBR263W","Shm1p","PTHR11680","7","488","PANTHER","1958509"
"YBR263W","Shm1p","PTHR11680:SF15","7","488","PANTHER","1958510"
"YBR263W","Shm1p","SSF53383","23","488","SUPERFAMILY","1958511"
"YBR264C","Ypt10p","G3DSA:3.30.70.1390","3","74","GENE3D","1959358"
"YBR264C","Ypt10p","G3DSA:3.40.50.300","75","168","GENE3D","1959359"
"YBR264C","Ypt10p","PF00071","6","162","Pfam","1959360"
"YBR264C","Ypt10p","PR00449","5","26","PRINTS","1959361"
"YBR264C","Ypt10p","PR00449","28","44","PRINTS","1959362"
"YBR264C","Ypt10p","PR00449","52","74","PRINTS","1959363"
"YBR264C","Ypt10p","PR00449","113","126","PRINTS","1959364"
"YBR264C","Ypt10p","PR00449","146","168","PRINTS","1959365"
"YBR264C","Ypt10p","PS51419","1","199","PROSITE","1959366"
"YBR264C","Ypt10p","PTHR24073","6","168","PANTHER","1959367"
"YBR264C","Ypt10p","PTHR24073:SF793","6","168","PANTHER","1959368"
"YBR264C","Ypt10p","SM00173","2","171","SMART","1959369"
"YBR264C","Ypt10p","SM00174","7","162","SMART","1959370"
"YBR264C","Ypt10p","SM00175","5","167","SMART","1959371"
"YBR264C","Ypt10p","SM00176","10","198","SMART","1959372"
"YBR264C","Ypt10p","SSF52540","4","174","SUPERFAMILY","1959373"
"YBR264C","Ypt10p","TIGR00231","3","164","TIGRFAM","1959374"
"YBR265W","Tsc10p","G3DSA:3.40.50.720","1","281","GENE3D","1960253"
"YBR265W","Tsc10p","PF00106","8","55","Pfam","1960254"
"YBR265W","Tsc10p","PF00106","77","215","Pfam","1960255"
